source,target,weight
1,0,23.697
2,1,33.100
2,0,58.960
3,2,28.167
3,1,57.296
3,0,84.467
4,0,44.718
4,1,55.619
4,2,79.414
5,4,34.378
5,1,38.451
5,2,40.182
6,3,30.520
6,2,38.193
6,5,45.387
7,5,44.789
7,4,40.785
7,6,65.439
8,6,35.051
8,7,34.182
8,5,45.753
9,0,14.277
9,4,35.076
9,1,39.584
10,1,12.021
10,0,18.934
10,9,27.815
11,2,4.349
11,3,25.556
11,1,30.699
12,3,11.888
12,11,18.755
12,2,22.606
13,4,7.031
13,5,40.803
13,7,37.742
14,5,4.406
14,4,31.052
14,13,35.893
15,6,12.408
15,8,28.228
15,12,32.193
16,7,18.874
16,13,34.551
16,4,38.318
17,8,10.202
17,7,31.653
17,15,35.074
18,9,12.265
18,0,10.109
18,10,25.223
19,10,2.907
19,1,10.211
19,0,16.973
20,11,1.587
20,2,4.332
20,12,17.241
21,3,6.065
21,12,10.477
21,11,20.425
22,4,3.989
22,13,9.312
22,14,29.202
23,5,10.463
23,14,14.517
23,1,29.273
24,6,6.787
24,15,11.684
24,12,18.912
25,7,8.496
25,16,18.971
25,13,31.689
26,17,2.551
26,8,8.999
26,7,29.518
27,0,6.390
27,18,15.694
27,9,14.568
28,1,4.966
28,19,12.142
28,10,12.258
29,12,8.483
29,20,14.405
29,11,14.139
30,3,9.910
30,21,17.224
30,12,18.094
31,13,11.883
31,4,10.244
31,22,14.287
32,5,10.405
32,14,10.186
32,23,13.131
33,15,4.164
33,6,7.489
33,24,10.580
34,7,8.175
34,16,10.514
34,25,11.348
35,26,5.868
35,17,7.250
35,8,7.768
36,18,7.673
36,9,8.353
36,0,17.392
37,10,6.448
37,19,7.379
37,27,12.970
38,20,13.374
38,11,13.750
38,2,13.443
39,12,1.437
39,29,8.507
39,21,9.457
40,22,4.070
40,4,6.743
40,13,9.859
41,5,12.844
41,14,13.510
41,23,15.227
42,15,6.721
42,33,12.192
42,24,12.356
43,16,10.781
43,34,13.006
43,25,14.634
44,17,7.721
44,26,9.027
44,8,11.622
45,37,5.370
45,27,8.030
45,10,9.675
46,1,13.207
46,28,12.826
46,19,18.049
47,2,9.443
47,11,9.320
47,20,12.473
48,3,13.279
48,30,16.740
48,21,16.644
49,41,11.206
49,22,14.630
49,4,16.661
50,32,12.068
50,23,15.598
50,42,19.699
51,6,5.342
51,33,8.478
51,24,11.296
52,25,3.011
52,7,5.400
52,34,11.341
53,8,7.207
53,35,13.291
53,26,13.135
54,27,11.728
54,9,15.079
54,0,14.942
55,28,13.232
55,37,11.675
55,1,16.066
56,38,7.445
56,20,10.219
56,11,8.524
57,39,6.277
57,12,6.760
57,29,10.566
58,13,3.223
58,4,8.024
58,40,10.322
59,14,5.309
59,5,6.080
59,32,8.066
60,42,6.787
60,15,10.787
60,33,11.747
61,34,4.182
61,7,8.162
61,16,10.022
62,17,4.249
62,26,4.175
62,35,6.077
63,18,7.389
63,36,9.104
63,9,13.353
64,10,10.653
64,45,13.179
64,19,10.738
65,2,10.991
65,38,12.532
65,20,12.103
66,47,8.561
66,21,9.234
66,11,15.094
67,40,14.593
67,22,15.236
67,54,16.097
68,23,8.154
68,41,12.182
68,55,13.397
69,50,7.977
69,24,15.575
69,42,13.839
70,43,5.266
70,16,14.007
70,34,12.995
71,8,11.109
71,44,12.436
71,17,17.006
72,37,3.675
72,19,7.976
72,10,7.823
73,38,3.713
73,56,9.898
73,65,11.905
74,29,7.236
74,66,8.172
74,11,9.328
75,30,6.262
75,3,15.691
75,48,13.492
76,41,13.589
76,31,14.670
76,49,15.698
77,42,12.056
77,50,11.795
77,32,11.966
78,51,5.687
78,33,9.659
78,6,10.889
79,7,9.952
79,61,12.135
79,52,15.346
80,35,16.033
80,53,19.087
80,62,19.272
81,9,5.337
81,54,8.289
81,36,10.914
82,19,2.964
82,10,4.487
82,1,7.517
83,56,4.897
83,38,5.264
83,20,7.729
84,3,2.435
84,21,7.319
84,12,11.161
85,13,5.024
85,58,5.758
85,4,5.246
86,5,5.143
86,32,7.637
86,23,7.107
87,60,2.716
87,42,5.705
87,15,8.239
88,34,5.789
88,43,6.875
88,16,7.855
89,62,3.178
89,26,3.893
89,17,4.023
90,0,4.232
90,27,10.875
90,18,10.335
91,82,4.756
91,1,4.657
91,19,6.388
92,2,4.739
92,65,8.460
92,11,8.469
93,3,7.457
93,48,8.295
93,84,7.684
94,4,2.297
94,22,5.271
94,85,6.413
95,32,5.956
95,50,7.175
95,86,8.397
96,6,2.660
96,24,7.499
96,51,6.289
97,34,5.877
97,88,6.710
97,25,5.726
98,35,4.358
98,8,7.050
98,89,7.022
99,54,2.076
99,81,7.712
99,27,10.542
100,28,6.672
100,55,7.996
100,1,10.098
101,29,6.211
101,74,7.293
101,56,9.304
102,30,5.591
102,84,6.341
102,3,6.713
103,31,2.431
103,94,13.383
103,76,13.954
104,5,3.641
104,86,4.784
104,59,5.493
105,33,4.718
105,15,5.507
105,78,10.685
106,7,1.163
106,52,6.365
106,25,7.887
107,62,2.500
107,89,4.441
107,17,5.193
108,36,1.274
108,18,7.726
108,63,8.535
109,10,3.509
109,19,4.421
109,37,4.178
110,73,5.780
110,65,6.809
110,38,8.223
111,12,5.877
111,39,5.391
111,21,6.391
112,40,5.347
112,85,8.323
112,22,8.429
113,86,4.932
113,23,5.609
113,5,6.061
114,15,6.741
114,42,6.582
114,24,7.949
115,43,3.064
115,70,7.199
115,88,6.272
116,17,5.428
116,44,4.986
116,62,6.725
117,0,4.198
117,27,5.457
117,90,7.303
118,1,7.430
118,28,8.061
118,46,9.458
119,101,4.209
119,74,5.446
119,29,6.598
120,93,4.125
120,48,5.822
120,3,10.880
121,76,3.957
121,41,12.210
121,49,10.764
122,50,3.004
122,69,7.280
122,95,9.298
123,51,2.851
123,78,4.269
123,6,7.912
124,52,11.456
124,7,12.754
124,106,12.909
125,53,3.735
125,8,6.382
125,98,6.828
126,9,5.694
126,81,7.043
126,99,10.913
127,37,5.481
127,72,6.029
127,45,6.348
128,56,6.823
128,83,8.880
128,38,11.220
129,29,5.086
129,39,5.270
129,12,6.347
130,13,2.572
130,58,3.448
130,85,3.826
131,14,7.602
131,76,7.598
131,121,7.926
132,60,5.675
132,87,6.569
132,42,11.166
133,16,5.267
133,88,12.509
133,115,11.254
134,107,4.816
134,116,5.682
